,city,state,address,geom,latitude,longitude
126,Millbrook,AL,"Millbrook,AL,USA","(32.4798575, -86.3619163)",32.4798575,-86.3619163
127,Allentown,PA,"Allentown,PA,USA","(40.6022059, -75.4712794)",40.6022059,-75.4712794
128,Green Bay,WI,"Green Bay,WI,USA","(44.5126379, -88.0125794)",44.5126379,-88.0125794
129,Las Vegas,NV,"Las Vegas,NV,USA","(36.1672559, -115.1485163)",36.1672559,-115.1485163
130,Lakeland,FL,"Lakeland,FL,USA","(28.0394654, -81.9498042)",28.0394654,-81.9498042
131,Gulfport,MS,"Gulfport,MS,USA","(30.3674198, -89.0928155)",30.3674198,-89.0928155
132,Sylvester,GA,"Sylvester,GA,USA","(31.5307349, -83.8354542)",31.5307349,-83.8354542
133,Terre Haute,IN,"Terre Haute,IN,USA","(39.4667025, -87.4139119)",39.4667025,-87.4139119
134,Santa Ana,CA,"Santa Ana,CA,USA","(33.7494951, -117.8732213)",33.7494951,-117.8732213
135,Pelzer,SC,"Pelzer,SC,USA","(34.6423372, -82.4559598)",34.6423372,-82.4559598
136,St Louis,MO,"St Louis,MO,USA","(38.6264178, -90.1998378)",38.6264178,-90.1998378
137,Tucson,AZ,"Tucson,AZ,USA","(32.2228765, -110.9748477)",32.2228765,-110.9748477
138,Columbia,MO,"Columbia,MO,USA","(38.951883, -92.3337366)",38.951883,-92.3337366
139,Tarboro,NC,"Tarboro,NC,USA","(35.8968236, -77.5358049)",35.8968236,-77.5358049
140,La Paz County,AZ,"La Paz County,AZ,USA","(33.7923828, -114.0184443)",33.7923828,-114.0184443
141,Roxand Township,MI,"Roxand Township,MI,USA","(42.7267907, -84.89655146219351)",42.7267907,-84.89655146219351
142,Barton,MS,"Barton,MS,USA","(34.9639824, -89.6892502)",34.9639824,-89.6892502
143,Joilet,IL,"Joilet,IL,USA","(41.799715, -86.272592)",41.799715,-86.272592
144,Salisbury,MD,"Salisbury,MD,USA","(38.3662114, -75.6008881)",38.3662114,-75.6008881
145,Deltona,FL,"Deltona,FL,USA","(28.9005446, -81.2636738)",28.9005446,-81.2636738
146,Milwaukee,WI,"Milwaukee,WI,USA","(43.0349931, -87.922497)",43.0349931,-87.922497
147,Burbank,CA,"Burbank,CA,USA","(34.1816482, -118.3258554)",34.1816482,-118.3258554
148,Lincoln,NE,"Lincoln,NE,USA","(40.8088861, -96.7077751)",40.8088861,-96.7077751
149,Madison,WI,"Madison,WI,USA","(43.074761, -89.3837613)",43.074761,-89.3837613
150,Putnam Hall,FL,"Putnam Hall,FL,USA","(29.7366333, -81.9592635)",29.7366333,-81.9592635
151,Anaheim,CA,"Anaheim,CA,USA","(33.8347516, -117.911732)",33.8347516,-117.911732
152,Claymont,DE,"Claymont,DE,USA","(39.8006685, -75.4596404)",39.8006685,-75.4596404
153,Atlanta,GA,"Atlanta,GA,USA","(33.7490987, -84.3901849)",33.7490987,-84.3901849
154,Brevard,NC,"Brevard,NC,USA","(35.2334472, -82.7342919)",35.2334472,-82.7342919
155,Dinosaur,CO,"Dinosaur,CO,USA","(40.242908, -109.0092525)",40.242908,-109.0092525
156,Cocoa,FL,"Cocoa,FL,USA","(28.3553873, -80.7318827)",28.3553873,-80.7318827
157,Cleveland,OH,"Cleveland,OH,USA","(41.5051613, -81.6934446)",41.5051613,-81.6934446
158,Baton Rouge,LA,"Baton Rouge,LA,USA","(30.4459596, -91.18738)",30.4459596,-91.18738
159,Port Wentworth,GA,"Port Wentworth,GA,USA","(32.149092, -81.1631681)",32.149092,-81.1631681
160,Ontario,CA,"Ontario,CA,USA","(34.065846, -117.6484304)",34.065846,-117.6484304
161,Elkton,MD,"Elkton,MD,USA","(39.6065073, -75.8330934)",39.6065073,-75.8330934
162,Kingman,AZ,"Kingman,AZ,USA","(35.189443, -114.0530065)",35.189443,-114.0530065
163,Bay Minette,AL,"Bay Minette,AL,USA","(30.8829628, -87.7730474)",30.8829628,-87.7730474
164,Hoover,AL,"Hoover,AL,USA","(33.3848933, -86.8070484)",33.3848933,-86.8070484
165,Washington,DC,"Washington,DC,USA","(38.8949855, -77.0365708)",38.8949855,-77.0365708
166,Napa,CA,"Napa,CA,USA","(38.2971367, -122.2855293)",38.2971367,-122.2855293
167,Kansas City,MO,"Kansas City,MO,USA","(39.100105, -94.5781416)",39.100105,-94.5781416
168,Fontana,CA,"Fontana,CA,USA","(34.0922335, -117.435048)",34.0922335,-117.435048
169,Walnut Creek,CA,"Walnut Creek,CA,USA","(37.9020731, -122.0618702)",37.9020731,-122.0618702
170,Follansbee,WV,"Follansbee,WV,USA","(40.3275693, -80.5959065)",40.3275693,-80.5959065
171,Kenosha,WI,"Kenosha,WI,USA","(42.5846773, -87.8212263)",42.5846773,-87.8212263
172,San Antonio,TX,"San Antonio,TX,USA","(29.4246002, -98.4951405)",29.4246002,-98.4951405
173,Ruth,MS,"Ruth,MS,USA","(31.3815627, -90.316482)",31.3815627,-90.316482
174,Medford,OR,"Medford,OR,USA","(42.3264181, -122.8718605)",42.3264181,-122.8718605
175,Dublin,NC,"Dublin,NC,USA","(34.6568361, -78.726407)",34.6568361,-78.726407
176,Onalaska,TX,"Onalaska,TX,USA","(30.805746, -95.1163261)",30.805746,-95.1163261
177,Sacramento,CA,"Sacramento,CA,USA","(38.5815719, -121.4943996)",38.5815719,-121.4943996
178,Glendale,AZ,"Glendale,AZ,USA","(33.5386858, -112.1859941)",33.5386858,-112.1859941
179,Bakersfield,CA,"Bakersfield,CA,USA","(35.3738712, -119.0194639)",35.3738712,-119.0194639
180,Lawrence County,AL,"Lawrence County,AL,USA","(34.4776367, -87.3017331)",34.4776367,-87.3017331
181,Middleton,ID,"Middleton,ID,USA","(43.7068282, -116.6201357)",43.7068282,-116.6201357
182,Jacksonville,FL,"Jacksonville,FL,USA","(30.3321838, -81.655651)",30.3321838,-81.655651
183,Sumas,WA,"Sumas,WA,USA","(48.9950874, -122.26908059331527)",48.9950874,-122.26908059331527
184,Coal County,OK,"Coal County,OK,USA","(34.5661009, -96.2944665)",34.5661009,-96.2944665
185,Red Valley,AZ,"Red Valley,AZ,USA","(36.970667250000005, -109.3913319137331)",36.970667250000005,-109.3913319137331
186,Cottonwood,AZ,"Cottonwood,AZ,USA","(34.739489, -112.0097939)",34.739489,-112.0097939
187,Clarendon,NY,"Clarendon,NY,USA","(43.193393, -78.064739)",43.193393,-78.064739
188,Harmony,IN,"Harmony,IN,USA","(39.5364433, -87.0723528)",39.5364433,-87.0723528
189,Vallejo,CA,"Vallejo,CA,USA","(38.1040864, -122.2566367)",38.1040864,-122.2566367
190,Portland,OR,"Portland,OR,USA","(45.5202471, -122.6741949)",45.5202471,-122.6741949
191,Islip,NY,"Islip,NY,USA","(40.7304311, -73.2108618)",40.7304311,-73.2108618
192,Santa Clara,CA,"Santa Clara,CA,USA","(37.2333253, -121.6846349)",37.2333253,-121.6846349
193,Portsmouth,VA,"Portsmouth,VA,USA","(36.8678592, -76.37559852679193)",36.8678592,-76.37559852679193
194,Fond du Lac,WI,"Fond du Lac,WI,USA","(43.7533414, -88.4493796)",43.7533414,-88.4493796
195,Smyrna,GA,"Smyrna,GA,USA","(33.883887, -84.5147454)",33.883887,-84.5147454
196,Johnsonville,SC,"Johnsonville,SC,USA","(33.8179432, -79.4492228)",33.8179432,-79.4492228
197,South Los Angeles,CA,"South Los Angeles,CA,USA","(33.9282906, -118.2788135)",33.9282906,-118.2788135
198,Gardner,KS,"Gardner,KS,USA","(38.8109254, -94.9272958)",38.8109254,-94.9272958
199,Wilmington,CA,"Wilmington,CA,USA","(33.7800164, -118.2625095)",33.7800164,-118.2625095
200,Oxnard,CA,"Oxnard,CA,USA","(34.1976308, -119.1803818)",34.1976308,-119.1803818
201,Fort Ashby,WV,"Fort Ashby,WV,USA","(39.503279, -78.7680749)",39.503279,-78.7680749
